,Gu,Dong,Name,Date,Price,Area,Floor,건축년도,Address,Year,Month,Interest Rate,Jeonse Index,Total Population,Children,Adolescent,Youth,Middle-Aged,Old Age,Consumption
3041,중랑구,신내동,화성.두산아파트,20240112,58000,66.96,5.0,1995.0,중랑구 신내동 0656-0000,2024,202401,3.5,58.5,57327,0.0838173984335479,0.11333228670608962,0.20048144853210528,0.4059692640466098,0.19636471470685715,6.258485261159547
3042,서대문구,홍제동,홍제한양,20240112,56500,60.06,1.0,1993.0,서대문구 홍제동 0082-0000,2024,202401,3.5,58.5,55536,0.07308772687986172,0.10567919907807548,0.2237107461826563,0.39612143474503025,0.20140089311437626,6.6479324423494015
3043,양천구,신월동,세아쎄닛빌,20240112,43000,66.9,4.0,2002.0,양천구 신월동 0547-0005,2024,202401,3.5,58.5,118305,0.07614217488694476,0.101145344659989,0.21401462321964415,0.4091543045517941,0.19953509995351,6.508188938883059
3044,도봉구,도봉동,서원,20240112,33500,49.77,12.0,1996.0,도봉구 도봉동 0641-0000,2024,202401,3.5,58.5,46010,0.05761790915018474,0.08161269289284938,0.1905672679852206,0.4002390784612041,0.2699630515105412,5.796132823935153
3045,중구,만리동2가,서울역센트럴자이,20240112,169000,84.97,23.0,2017.0,중구 만리동2가 0176-0001,2024,202401,3.5,58.5,4477,0.1541210632119723,0.08063435336162608,0.27719454992182263,0.3953540317176681,0.09269600178691088,8.41763434680424
3046,성동구,응봉동,서울숲리버그린동아아파트,20240112,91000,59.98,1.0,2003.0,성동구 응봉동 0276-0000,2024,202401,3.5,58.5,14901,0.09287967250520099,0.12341453593718542,0.21327427689416817,0.40487215623112544,0.16555935843231998,7.310219689497042
3047,서초구,반포동,래미안원베일리,20240112,380000,84.95,6.0,2023.0,서초구 반포동 0001-0001,2024,202401,3.5,58.5,76240,0.1276626442812172,0.1411463798530955,0.20047219307450156,0.39770461699895066,0.13300104931794335,8.125860962031119
3048,마포구,아현동,서서울삼성,20240112,69000,48.92,14.0,1998.0,마포구 아현동 0692-0000,2024,202401,3.5,58.5,28282,0.10635740046672795,0.08988048935718831,0.2827947104165193,0.3810904462202107,0.13987695353935364,7.625313276334186
3049,용산구,이촌동,현대한강,20240112,142000,59.55,12.0,1997.0,용산구 이촌동 0400-0000,2024,202401,3.5,58.5,32810,0.1081377628771716,0.11578786955196586,0.19521487351417252,0.402560195062481,0.17829929899420907,7.12279496248059
3050,성북구,종암동,래미안크리시엘,20240112,65000,59.99,13.0,2004.0,성북구 종암동 0080-0000,2024,202401,3.5,58.5,37609,0.08051264325028584,0.1336648142731793,0.2102422292536361,0.3952245473158021,0.1803557659070967,6.243843158944652
3051,강동구,암사동,한건,20240112,62800,84.83,1.0,2001.0,강동구 암사동 0504-0008,2024,202401,3.5,58.5,65746,0.09145803546983847,0.10356523590788794,0.2300976485261461,0.40226021354911323,0.17261886654701428,6.780687750503237
3052,강북구,미아동,에스케이북한산시티,20240112,61800,84.76,10.0,2004.0,강북구 미아동 1353-0000,2024,202401,3.5,58.5,127024,0.06653073434941428,0.11408867615568712,0.20078095478019903,0.41477988411638744,0.20381187807028592,5.830852328093665
3053,광진구,광장동,광장현대9단지,20240112,129600,84.96,24.0,1999.0,광진구 광장동 0576-0000,2024,202401,3.5,58.5,33965,0.12012365670543207,0.16740762549683497,0.16776093036949802,0.43067863977624027,0.1140291476519947,6.4299047834496745
3054,강서구,등촌동,천우네오젠102동,20240112,49800,78.6,2.0,2007.0,강서구 등촌동 0637-0032,2024,202401,3.5,58.5,73652,0.06451963286808234,0.09247542497148753,0.3060880899364579,0.35747841199152774,0.17943844023244446,7.3853944332712524
3055,구로구,구로동,주공1,20240112,47320,73.08,3.0,1986.0,구로구 구로동 0685-0222,2024,202401,3.5,58.5,114035,0.062121278554829656,0.09435699565922744,0.28011575393519533,0.3794536765028281,0.1839522953479195,7.212296533394964
3056,서초구,우면동,한라,20240112,96000,59.98,6.0,1994.0,서초구 우면동 0067-0000,2024,202401,3.5,58.5,27344,0.11007899356348742,0.1317290813341135,0.18852399063779987,0.3984420713867759,0.17122586307782328,8.125860962031119
3057,강북구,수유동,수유벽산1차,20240112,58000,84.95,15.0,1993.0,강북구 수유동 0205-0000,2024,202401,3.5,58.5,101509,0.05299037523766366,0.1004048902067797,0.21933030568718045,0.40047680501236343,0.22679762385601276,5.830852328093665
3058,강남구,역삼동,현대까르띠에710,20240112,322000,149.7,21.0,2001.0,강남구 역삼동 0710-0000,2024,202401,3.5,58.5,70497,0.0711661489141382,0.1251542618834844,0.32236832773025803,0.37937784586578155,0.10193341560633785,8.944714059811606
3059,강서구,내발산동,마곡수명산파크4단지,20240112,78800,59.84,4.0,2008.0,강서구 내발산동 0753-0000,2024,202401,3.5,58.5,44651,0.09977380125865042,0.1590333923092428,0.1823923316387091,0.41741506349241897,0.1413630153859936,7.3853944332712524
