학교종류명,설립구분,학교명,영문학교명,남녀공학구분명,고등학교구분명,고등학교일반실업구분명,특수목적고등학교계열명,Longitude,Latitude,도로명주소,구주소,동
초등학교,공립,서울노일초등학교,Seoul Noil Elementary School,남여공학,,일반계,,127.0547277,37.6736177,서울특별시 노원구 동일로 1625 노일초등학교,서울특별시 노원구 상계동 1044-2 노일초등학교,상계동
초등학교,공립,서울노원초등학교,Seoul Nowon Elementary School,남여공학,,일반계,,127.05838,37.6732619,서울특별시 노원구 동일로230나길 32 노원초등학교,서울특별시 노원구 상계동 1014 노원초등학교,상계동
초등학교,공립,서울공연초등학교,Seoul Gongyeon Elementary School,남여공학,,일반계,,127.0742354,37.6272886,서울특별시 노원구 동일로192가길 16 서울공연초등학교,서울특별시 노원구 공릉동 371-10 서울공연초등학교,공릉동
초등학교,공립,서울공릉초등학교,Seoul Gongrung Elementary School,남여공학,,일반계,,127.0741356,37.6192561,서울특별시 노원구 동일로173길 12 서울공릉초등학교,서울특별시 노원구 공릉동 610-1 서울공릉초등학교,공릉동
초등학교,공립,서울계상초등학교,Seoul Kyesang Elementary School,남여공학,,일반계,,127.0681263,37.6628975,서울특별시 노원구 한글비석로41가길 24 계상초등학교,서울특별시 노원구 상계동 447-1 계상초등학교,상계동
초등학교,공립,서울가인초등학교,Seoul Gain Elementary School,남여공학,,해당없음,,127.0429647,37.6597345,서울특별시 도봉구 도봉로136다길 4 가인초등학교,서울특별시 도봉구 창동 224-20 가인초등학교,창동
초등학교,사립,상명초등학교,Sangmyeong Elementary School,남여공학,,일반계,,127.0672516,37.6488893,서울특별시 노원구 덕릉로 541 상명초등학교,서울특별시 노원구 중계동 515-1 상명초등학교,중계동
초등학교,사립,동북초등학교,Dongbuk Elementary School,남여공학,,일반계,,127.0262267,37.6551769,서울특별시 도봉구 시루봉로 53 학교법인세그루학원,서울특별시 도봉구 쌍문동 263 학교법인세그루학원,쌍문동
각종학교(고),사립,지구촌학교 고등학교,.,남여공학,,,,126.8351232,37.4888821,서울특별시 구로구 오리로 1189 금강프라자,서울특별시 구로구 오류동 223-5 금강프라자,오류동
각종학교(중),사립,지구촌학교 중학교,The School of Global SARANG,남여공학,,,,126.8351232,37.4888821,서울특별시 구로구 오리로 1189 금강프라자,서울특별시 구로구 오류동 223-5 금강프라자,오류동
초등학교,공립,서울항동초등학교,Seoul Hangdong Elementary School,남여공학,,,,126.8240758,37.4769723,서울특별시 구로구 연동로 178 항동초등학교,서울특별시 구로구 항동 160-3 항동초등학교,항동
초등학교,공립,서울하늘숲초등학교,서울하늘숲초등학교,남여공학,,,,126.8415943,37.4842367,서울특별시 구로구 오리로 1106,서울특별시 구로구 천왕동 280-1,천왕동
중학교,공립,신길중학교,SINGIL MIDDLE SCHOOL,남여공학,,,,126.9154741,37.5020241,서울특별시 영등포구 신길로28길 43 신길중학교,서울특별시 영등포구 신길동 4948 신길중학교,신길동
중학교,공립,항동중학교,Hang-dong,남여공학,,,,126.8205792,37.483003,서울특별시 구로구 연동로 239-2 항동중학교,서울특별시 구로구 항동 22-5 항동중학교,항동
초등학교,공립,서울금나래초등학교,seoulgeumnaraeelementaryschool,남여공학,,,,126.896358,37.4582962,서울특별시 금천구 시흥대로79길 37 서울금나래초등학교,서울특별시 금천구 독산동 1153 서울금나래초등학교,독산동
중학교,공립,천왕중학교,Cheonwang Middle School,남여공학,,해당없음,,126.8376821,37.4828323,서울특별시 구로구 천왕로 63 천왕중학교,서울특별시 구로구 천왕동 273-1 천왕중학교,천왕동
평생학교(초)-3년6학기,사립,학력인정 서현초등학교,Seohyeon Elementary School,남여공학,,해당없음,,126.9155304,37.5123096,서울특별시 영등포구 도신로53길 18 서현주부학교,서울특별시 영등포구 신길동 166-7 서현주부학교,신길동
초등학교,공립,서울천왕초등학교,Cheonwang Elementary School,남여공학,,해당없음,,126.837138,37.4816411,서울특별시 구로구 천왕로1길 11 천왕초등학교,서울특별시 구로구 천왕동 273-2 천왕초등학교,천왕동
중학교,공립,한울중학교,Hanwool Middle School,남여공학,,일반계,,126.9071063,37.4624064,서울특별시 금천구 독산로50길 60 한울중학교,서울특별시 금천구 시흥동 792-1 한울중학교,시흥동
중학교,공립,윤중중학교,Yunjung Middle School,남여공학,,일반계,,126.9242655,37.5187823,서울특별시 영등포구 여의동로3길 3 윤중중학교,서울특별시 영등포구 여의도동 38-2 윤중중학교,여의도동
중학교,사립,우신중학교,Wooshin Middle School,남,,일반계,,126.8266507,37.4953588,"서울특별시 구로구 부일로 917 우신고등학교,우신중학교","서울특별시 구로구 궁동 230 우신고등학교,우신중학교",궁동
중학교,공립,오류중학교,Oryu Middle School,남여공학,,일반계,,126.8466133,37.5075732,서울특별시 구로구 고척로27바길 19 오류중학교,서울특별시 구로구 고척동 243 오류중학교,고척동
중학교,공립,오남중학교,OHNAM Middle School,남여공학,,일반계,,126.8369499,37.4871518,서울특별시 구로구 오리로9길 25 오남중학교,서울특별시 구로구 오류동 214-4 오남중학교,오류동
중학교,공립,영원중학교,Yeong-won Middle School,남여공학,,일반계,,126.9139041,37.5155243,서울특별시 영등포구 영등포로62길 31 영원중학교,서울특별시 영등포구 영등포동 576-6 영원중학교,영등포동
중학교,공립,영서중학교,Yeongseo Middle School,남여공학,,일반계,,126.8944068,37.4892525,서울특별시 구로구 도림로20길 35 영서중학교,서울특별시 구로구 구로동 145-20 영서중학교,구로동
중학교,공립,영림중학교,Younglim Middle School,남여공학,,일반계,,126.8904319,37.4979679,서울특별시 구로구 가마산로27길 17 영림중학교,서울특별시 구로구 구로동 105-2 영림중학교,구로동
중학교,공립,영남중학교,Yeongnam Middle School,남여공학,,일반계,,126.8957403,37.4978112,서울특별시 영등포구 대림로31나길 17 영남중학교,서울특별시 영등포구 대림동 735 영남중학교,대림동
중학교,공립,여의도중학교,Yeouido Middle School,남여공학,,일반계,,126.9357,37.52405,서울특별시 영등포구 국제금융로7길 46 여의도중학교,서울특별시 영등포구 여의도동 40-1 여의도중학교,여의도동
중학교,공립,양화중학교,Yangwha Middle School,남여공학,,일반계,,126.8960307,37.5198067,서울특별시 영등포구 당산로 56 양화중학교,서울특별시 영등포구 문래동3가 48 양화중학교,문래동3가
중학교,공립,안천중학교,Ancheon Middle School,남여공학,,일반계,,126.8874208,37.4595565,서울특별시 금천구 한내로 69-44 안천중학교,서울특별시 금천구 독산동 1089 안천중학교,독산동
중학교,공립,신도림중학교,Sindorim Middle School,남여공학,,일반계,,126.8855195,37.5107994,서울특별시 구로구 경인로63길 74 신도림중학교,서울특별시 구로구 신도림동 311-1 신도림중학교,신도림동
중학교,공립,시흥중학교,Shiheung Middle School,남여공학,,일반계,,126.9055319,37.4462253,서울특별시 금천구 시흥대로38길 60 시흥중학교,서울특별시 금천구 시흥동 산24-15 시흥중학교,시흥동
중학교,공립,세일중학교,Seil Middle School,남여공학,,일반계,,126.8955479,37.474739,서울특별시 금천구 시흥대로147길 34 세일중학교,서울특별시 금천구 독산동 147-2 세일중학교,독산동
